날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20170731,파루(A043200),매도,6480,1356.0,목표가매도,15.097690941385435%
20170801,파루(A043200),매수,6350,1268,매수로직 매수 - (매수가) 우선순위 : 1,-
20170802,케이프(A064820),매수,3900,2075,매수로직 매수 - (매수가) 우선순위 : 1,-
20170802,코나아이(A052400),매도,12450,605,날짜지나 매도 : 20170731 ~ 20170802 설정가격매도,-1.1904761904761905%
20170802,파루(A043200),매도,5080,1268.0,손절가매도,-20.0%
20170803,비에이치(A090460),매수,21500,339.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170804,파루(A043200),매수,5900,1206,매수로직 매수 - (매수가) 우선순위 : 1,-
20170804,케이프(A064820),매도,3550,2075,날짜지나 매도 : 20170802 ~ 20170804 설정가격매도,-8.974358974358974%
20170807,코나아이(A052400),매수,13250,527,매수로직 매수 - (매수가) 우선순위 : 1,-
20170807,비에이치(A090460),매도,21450,339,날짜지나 매도 : 20170803 ~ 20170807 설정가격매도,-0.23255813953488372%
20170808,감마누(A192410),매수,7277,947,매수로직 매수 - (매수가) 우선순위 : 1,-
20170809,파루(A043200),매도,4975,1206,날짜지나 매도 : 20170804 ~ 20170809 설정가격매도,-15.677966101694915%
20170809,코나아이(A052400),매도,12800,527,날짜지나 매도 : 20170807 ~ 20170809 설정가격매도,-3.3962264150943398%
20170810,빅텍(A065450),매수,4695,1379,매수로직 매수 - (매수가) 우선순위 : 1,-
20170810,감마누(A192410),매도,6515,947.0,날짜지나 매도 : 20170808 ~ 20170810 설정가격매도,-10.471348083001237%
20170811,성창오토텍(A080470),매수,6450,1005,매수로직 매수 - (매수가) 우선순위 : 1,-
20170811,성창오토텍(A080470),매도,7415,1005,당일목표가매도,14.96124031007752%
20170811,드림시큐리티(A203650),매수,3865,1667,매수로직 매수 - (매수가) 우선순위 : 2,-
20170816,드림시큐리티(A203650),매도,4020,1667,날짜지나 매도 : 20170811 ~ 20170816 설정가격매도,4.010349288486417%
