날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20100723,큐로컴(A040350),매도,1210,1888,손절가 시초가 매도,-25.538461538461537%
20100726,젬백스(A082270),매수,11150,245,매수로직 매수 - (매수가)  우선순위 : 1,-
20100726,W홀딩컴퍼니(A052300),매수,2105,1298,매수로직 매수 - (매수가)  우선순위 : 2,-
20100727,넥스트바이오홀딩스(A051980),매도,3220,889,날짜지나 매도 (전일종가) : 2010/07/23 ~ 2010/07/27 ,-2.5718608169440245%
20100728,젬백스(A082270),매도,10450,245,날짜지나 매도 (전일종가) : 2010/07/26 ~ 2010/07/28 ,-6.278026905829597%
20100728,W홀딩컴퍼니(A052300),매도,2304,1298,날짜지나 매도 (전일종가) : 2010/07/26 ~ 2010/07/28 ,9.453681710213777%
20100729,코디에스(A080530),매수,8930,313,매수로직 매수 - (매수가)  우선순위 : 2,-
20100730,씨아이테크(A004920),매수,7550,374,매수로직 매수 - (매수가)  우선순위 : 1,-
20100802,코디에스(A080530),매도,8803,313,날짜지나 매도 (전일종가) : 2010/07/29 ~ 2010/08/02 ,-1.422172452407615%
20100802,씨아이테크(A004920),매도,9940,374,목표가 시초가 매도,31.65562913907285%
20100805,성문전자(A014910),매수,3020,1017,매수로직 매수 - (매수가)  우선순위 : 1,-
20100806,씨아이테크(A004920),매수,8280,374,매수로직 매수 - (매수가)  우선순위 : 1,-
20100806,성문전자(A014910),매도,3475,1017,목표가 매도,15.066225165562914%
20100809,씨아이테크(A004920),매도,6620,374,손절가 매도,-20.048309178743963%
20100810,차바이오텍(A085660),매수,10950,275,매수로직 매수 - (매수가)  우선순위 : 2,-
20100810,JW신약(A067290),매수,4130,730,매수로직 매수 - (매수가)  우선순위 : 3,-
20100811,이화공영(A001840),매수,5999,500,매수로직 매수 - (시초가)  우선순위 : 1,-
20100812,차바이오텍(A085660),매도,11448,275,날짜지나 매도 (전일종가) : 2010/08/10 ~ 2010/08/12 ,4.547945205479452%
20100812,이화공영(A001840),매도,6900,500,목표가 매도,15.019169861643608%
20100813,이화공영(A001840),매수,6550,481,매수로직 매수 - (매수가)  우선순위 : 1,-
20100813,큐로홀딩스(A051780),매수,3020,1044,매수로직 매수 - (시초가)  우선순위 : 2,-
20100813,JW신약(A067290),매도,3986,730,날짜지나 매도 (전일종가) : 2010/08/10 ~ 2010/08/12 ,-3.486682808716707%
20100817,이디디컴퍼니(A052650),매수,5500,578,매수로직 매수 - (매수가)  우선순위 : 1,-
20100817,이화공영(A001840),매도,6711,481,날짜지나 매도 (전일종가) : 2010/08/13 ~ 2010/08/17 ,2.4580152671755724%
20100817,큐로홀딩스(A051780),매도,3000,1044,날짜지나 매도 (전일종가) : 2010/08/13 ~ 2010/08/17 ,-0.6622516556291391%
20100819,이디디컴퍼니(A052650),매도,5930,578,날짜지나 매도 (전일종가) : 2010/08/17 ~ 2010/08/19 ,7.818181818181818%
20100820,조비(A001550),매수,28200,115,매수로직 매수 - (매수가)  우선순위 : 1,-
20100824,리더스코스메틱(A016100),매수,5500,603,매수로직 매수 - (매수가)  우선순위 : 1,-
20100824,젬백스(A082270),매수,15000,221,매수로직 매수 - (매수가)  우선순위 : 2,-
